Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,test_requests,68626,6516,380.0,354.73117895841256,7.47879999835277,4738.807200003066,2712.036050476496,1155.484637427429,109.71261471566356,380,390,400,410,420,430,450,460,3100,4700,4700
,Aggregated,68626,6516,380.0,354.73117895841256,7.47879999835277,4738.807200003066,2712.036050476496,1155.484637427429,109.71261471566356,380,390,400,410,420,430,450,460,3100,4700,4700
