Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,test_requests,26267,12018,490.0,645.0794304869137,2.157000002625864,16529.135799995856,1748.8971713556934,439.3376841296363,201.01116564015564,490,710,870,970,1300,1800,2400,3500,8500,16000,17000
,Aggregated,26267,12018,490.0,645.0794304869137,2.157000002625864,16529.135799995856,1748.8971713556934,439.3376841296363,201.01116564015564,490,710,870,970,1300,1800,2400,3500,8500,16000,17000
