Total Average Response Time,Requests/s
12.297496202485997,0.000000
16.81740533706105,0.000000
21.572621174340014,78.000000
25.429989608618403,136.000000
29.130188983951342,152.666667
35.236697977121516,163.000000
39.23522414544343,168.200000
42.68507395765058,169.000000
47.80426305554405,174.142857
52.290815004979734,180.000000
55.70103734992941,182.400000
58.595297664117176,192.800000
60.99107226830357,194.800000
63.79787266935115,200.800000
70.57970714061115,207.400000
76.48143824572011,212.500000
79.02573142857625,210.600000
81.99736697412935,207.900000
85.4138164672152,207.800000
89.43078101695595,216.000000
93.57832559140401,223.400000
96.86703382862432,229.800000
100.30227952955454,231.200000
104.44114432552657,228.900000
107.98252704181138,226.800000
112.32940301710293,222.800000
116.7029260576998,235.800000
120.96051303745637,240.500000
125.69760208180128,246.900000
130.40532079740416,243.100000
134.26571074312818,244.600000
139.52771125215355,251.400000
144.3994589483215,252.200000
150.28474929735702,252.000000
155.05305893865335,253.600000
159.8941856943036,249.100000
165.1718618335476,253.000000
172.5855589080832,248.100000
178.4685789954391,246.500000
183.95141807216712,234.100000
188.2662918546034,228.600000
192.35166545782928,218.100000
196.14322316704514,219.600000
200.71940174507125,219.700000
204.2967862562335,227.400000
208.77214832690765,231.100000
212.41610090177113,235.000000
216.5310683053624,239.500000
220.97384856314986,255.600000
225.5790904696498,264.100000
230.36575947032625,275.300000
233.75456580223394,280.600000
237.18994732337512,286.300000
240.57332432710135,289.000000
243.61992458557702,292.700000
